,display,address,x,y
0,이대원장군묘,경기도 평택시 포승읍 희곡리 산83-6,126.8748383,36.9690580
1,진위향교,경기도 평택시 진위면 봉남리 166,127.0948886,37.0991405
2,계명대학교 성서캠퍼스행소박물관,대구광역시 달서구 신당동 1000-2,128.4898750,35.8567399
3,마포농수산물시장,서울특별시 마포구 성산동 533-1,126.8985079,37.5651985
4,연지어린이공원,부산광역시 부산진구 연지동,129.0558013,35.1729725
5,한국항공대학교항공우주박물관,경기도 고양시 덕양구 화전동 200-1,126.8656129,37.5999291
6,좌동재래시장,부산광역시 해운대구 좌동 892,129.1746125,35.1732178
7,김포독립운동기념관,경기도 김포시 양촌읍 양곡리 1331,126.6293079,37.6533322
8,신포국제시장,인천광역시 중구 신포동 3-2,126.6272227,37.4714200
9,안중근의사기념관,서울특별시 중구 남대문로5가 471,126.9803621,37.5534459
10,은평역사한옥박물관,서울특별시 은평구 진관동 135-5,126.9381171,37.6402522
11,서울문묘의은행나무,서울특별시 종로구 명륜3가,126.9958855,37.5857086
12,뚝섬한강공원,서울특별시 광진구 자양동 704-1,127.0706769,37.5294517
13,농업박물관,서울특별시 중구 충정로1가 75-1,126.9683226,37.5668447
14,망원시장,서울특별시 마포구 망원동 411-2,126.9060576,37.5565449
15,백운포체육공원,부산광역시 남구 용호동 895-3,129.1112750,35.1033486
16,서오릉,경기도 고양시 덕양구 용두동 475-95,126.8976117,37.6305989
17,배재학당역사박물관,서울특별시 중구 정동 34-5,126.9726100,37.5640019
18,한국기독교100주년기념탑,인천광역시 중구 항동1가,126.6165468,37.4734165
19,장위전통시장,서울특별시 성북구 장위동 68-185,127.0514490,37.6103697
20,부산시립미술관,부산광역시 해운대구 우동 1413,129.1370284,35.1667495
21,대학공원,인천광역시 연수구 연수동,126.6857040,37.4205833
22,갤러리 라메르,서울특별시 종로구 관훈동 198-1,126.9849468,37.5725264
23,낙성대공원,서울특별시 관악구 봉천동 228,126.9603009,37.4713728
24,대한민국역사박물관,서울특별시 종로구 세종로 82-1,126.9778134,37.5739236
25,행복체육공원,부산광역시 해운대구 재송동,129.1202451,35.1894324
26,두산아트센터,서울특별시 종로구 연지동 269-2,127.0008496,37.5718295
27,인천개항박물관,인천광역시 중구 중앙동1가 9-2,126.6205598,37.4732795
28,검단탑병원,인천광역시 서구 당하동 1079-1,126.6709323,37.5925026
29,국립한글박물관,서울특별시 용산구 용산동6가 412-6,126.9809191,37.5211823
30,롯데갤러리 본점,서울특별시 중구 소공동 1 롯데백화점 본점 12층,126.9819460,37.5647480
31,새마을전통시장,서울특별시 송파구 잠실동 205-15,127.0851608,37.5090348
32,하남덕풍전통재래시장,경기도 하남시 덕풍동 326-9,127.2029624,37.5415917
33,증권박물관,경기도 고양시 일산동구 백석동 1328,126.7860815,37.6383767
34,동묘 벼룩시장,서울특별시 종로구 숭인동,127.0177120,37.5731690
35,증권박물관,경기도 고양시 일산동구 백석동 1328,126.7860815,37.6383767
36,고양독립운동기념탑,경기도 고양시 일산동구 장항동,126.7708714,37.6588232
37,백인제가옥,서울특별시 종로구 가회동 93-1,126.9841560,37.5808550
38,모래내시장,서울특별시 서대문구 남가좌동 290-2,126.9157417,37.5707227
39,동덕아트갤러리,서울특별시 종로구 관훈동 151-8 동덕빌딩 B1,126.9833114,37.5749033
40,신매시장,대구광역시 수성구 신매동 574-1,128.7101140,35.8381149
41,관동갤러리,인천광역시 중구 관동2가 4-10,126.6237360,37.4727899
42,캠프라과디아체육공원,경기도 의정부시 의정부동 253-6,127.0417545,37.7426854
43,남양주시립박물관,경기도 남양주시 와부읍 팔당리 237-3,127.2443979,37.5463739
44,덕수궁돌담길,서울특별시 중구 정동 4,126.9753127,37.5667016
45,손기정기념관,서울특별시 중구 만리동2가 6-1,126.9646835,37.5557960
46,민락수변공원,부산광역시 수영구 민락동 110-18,129.1344402,35.1559173
47,낙민공원,부산광역시 동래구 낙민동,129.0972054,35.1956241
48,동대문구청,서울특별시 동대문구 용두동 39-9,127.0396500,37.5745240
49,선사유적공원,대구광역시 달서구 진천동,128.5218750,35.8101500
50,해돋이공원,인천광역시 연수구 송도동 5-1,126.6545577,37.3876996
51,국립현대미술관 고양레지던시,경기도 고양시 덕양구 관산동 656,126.8587742,37.7137827
52,과천향교,경기도 과천시 중앙동 81,126.9875804,37.4337375
53,한국방송통신대학교역사관,서울특별시 종로구 동숭동 169-1,127.0026520,37.5785211
54,운현궁,서울특별시 종로구 운니동 114-10,126.9870500,37.5761249
55,복사골문화센터 아트홀,경기도 부천시 상동 394-2,126.7541281,37.4948237
56,인천광역시검단선사박물관,인천광역시 서구 원당동 824-11,126.6986874,37.5944154
57,청라호수공원,인천광역시 서구 청라동 106-2,126.6328092,37.5399695
58,양천향교,서울특별시 강서구 가양동 234,126.8398222,37.5730734
59,이곡장미공원,대구광역시 달서구 이곡동 1306-6,128.5148618,35.8579241
60,동구릉원릉,경기도 구리시 인창동 산8-2,127.1300841,37.6207016
61,둔촌역전통시장,서울특별시 강동구 성내동 450-54,127.1352078,37.5272696
62,융건릉,경기도 화성시 안녕동 187-39,126.9905752,37.2125059
63,유진민속박물관,경기도 고양시 덕양구 원흥동 440-2,126.8658085,37.6458771
